ListPrice,BEDS,BATHS,SQFT,LotSize,Age,ParkingSpots
214000,3,2,1954,6969,96,2
134900,3,1,1028,4356,103,1
129722,4,1,1420,5227,114,0
134900,2,1.75,904,8712,86,3
444900,4,2.5,2014,12632,0,3
134900,4,1,1980,4791,110,2
159000,3,2,1594,3484,114,2
69900,3,1.25,1255,7405,120,3
79990,2,1.25,816,4791,87,1
69900,3,1.5,1200,4791,138,0
249900,3,1.75,2056,6098,62,1
149900,5,1.75,1602,4791,99,2
177500,2,1,1538,4791,85,1
144900,3,1,1108,4791,67,2
464900,3,1.75,2132,12196,58,2
72000,3,2,1644,6969,100,2
147500,3,1,1455,5662,61,5
119900,2,1,735,5662,68,1
57500,3,2,1117,4791,106,2
80000,2,1.5,776,5662,97,2
214900,3,1.75,1434,6098,63,2
154900,4,2,1834,4791,108,2
79900,2,1,700,5662,104,1
129900,3,1.75,1252,4791,93,2
699900,7,4.25,3955,6534,91,2
364900,3,2.25,1848,6098,76,3
94850,2,1,936,4791,88,2
104900,2,1,936,10454,95,9
225000,4,1,1818,38768,114,2
259800,3,1.5,1295,4356,105,1
199900,3,1,1600,6098,92,2
186900,2,1,938,5662,88,1
123900,4,1,1075,5227,92,3
389000,3,3,2328,5227,93,4
699900,6,4.25,5223,26136,102,12
319000,2,1.75,1430,5227,1,2
149990,3,2,1220,4791,0,1
499999,3,2.5,2402,6969,83,2
129900,3,2.25,1496,3484,8,2
129900,3,1.25,964,8276,44,2
169900,3,1.5,1480,4791,88,3
850000,4,3.25,3646,8712,82,2
129900,2,1.5,1781,3920,91,1
129900,2,1.5,1407,4791,105,2
76500,3,1,1108,2613,124,1
369900,3,2.75,1870,6098,92,1
129900,3,1,1005,4791,94,2
224900,3,2.5,1940,5227,10,2
99900,4,1.75,1900,4791,88,1
119900,3,2,1696,6969,102,2
134900,3,1,1110,6534,65,3
549000,4,1.5,2012,7840,91,1
124900,3,2.25,2179,8712,103,5
229900,3,1.5,1835,4791,108,2
139900,4,1.75,1400,5227,76,1
123900,3,1,1148,10890,126,2
152900,4,1.75,1904,3920,92,1
129900,4,1.75,1424,5227,66,1
62400,1,1,510,4791,86,1
124900,2,1,676,4791,74,2
117000,2,1,1017,13285,125,2
264900,3,1.75,2304,5227,92,2
119900,2,1,1314,5662,73,1
89900,5,1.75,1835,6534,120,2
675000,2,2.25,3130,6098,89,3
160000,3,1.75,1894,6534,61,1
120000,3,1.25,1183,4791,75,1
749900,3,2.75,3589,5227,124,4
139900,3,1.75,1201,4791,97,2
129900,3,1.25,1600,6098,73,0
179900,3,1,864,6098,61,2
375000,3,1.75,1980,9147,24,2
329900,3,2.75,2478,6098,77,2
519900,3,2.5,2973,6098,91,4
1375000,5,4.25,4934,14810,104,2
750000,5,3.5,3849,13503,81,3
140000,3,1.5,1167,8712,99,2
139900,2,1,1530,9147,64,1
90000,3,1,1308,5227,134,4
150000,2,1,759,5227,95,2
169900,4,1.5,1744,4791,124,0
124000,3,2.5,1700,9147,99,2
159900,2,1,1120,4791,74,1
299500,3,1.75,1395,4791,87,2
129850,3,1,1382,5227,85,2
215900,2,1,720,5227,91,2
199000,4,1.25,1887,125888,129,2
159900,3,1,1184,10454,83,5
134990,3,1,1774,5227,93,4
99000,2,1,960,5532,95,1
165000,4,1.5,1544,5227,101,2
84900,3,1.75,1381,3920,123,3
153334,3,1,1120,5227,98,2
439000,4,2.5,3007,13068,87,2
414900,5,3.5,2922,4791,10,2
124900,3,1.5,1140,6098,67,4
559900,4,3.25,2762,4791,0,4
699900,5,3.75,4500,14810,87,2
155900,4,1.5,1806,5227,104,1
520000,4,3.5,2907,4791,1,2
129900,2,1,1101,5227,105,1
225000,3,1.75,1252,4791,89,2
279900,3,1.75,1400,4791,85,2
119000,2,1,644,5662,114,2
129900,3,1.5,1008,4791,114,2
324900,4,3.5,2908,4791,10,2
499000,3,2.5,1820,4791,1,2
289900,3,1.75,1604,4791,89,2
159900,4,1,1740,4791,125,2
144850,4,1,1498,4791,62,1
182500,4,1.5,2288,9583,56,4
162900,4,1.75,1677,6098,51,1
58895,4,1,1589,15245,100,2
40000,4,1,1720,3920,124,1
179900,4,2,3123,4791,53,2
195000,3,1,1585,5227,100,2
119000,3,1.5,1412,6969,92,2
199900,3,1.5,1270,4791,97,4
159900,3,2.5,1996,3484,14,2
239900,4,2,2294,8276,99,6
124900,3,1,1238,4791,89,1
